From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
10563;4713;sea;11570;-1;-1;-1;-1;;Dream-island-bridge
4391;4148;sea;11778;-1;-1;-1;-1;;Dream-island-bridge #:Pray: (Longbridge)
9875;11857;sea;11778;-1;-1;-1;-1;;Dream-island-bridge #:Pray: (Entown Beach to Mainland)
11860;9890;sea;11492;-1;-1;-1;-1;;Dream-island-bridge #:Pray: (Random Island to Mainland)
11860;11857;sea;11492;-1;-1;-1;-1;;Dream-island-bridge #:Pray: (Random Island to Entown Beach)
10140;11864;sea;11604;-1;-1;-1;-1;;Dream-island-bridge #:Pray: (Mainland to Upper Hendailan Island)
11878;11873;sea;11604;-1;-1;-1;-1;;Dream-island-bridge #:Pray: (Big Middle Hendailan Island to other Middle Hendailan Island)
11871;11874;sea;11604;-1;-1;-1;-1;;Dream-island-bridge #:Pray: (other Middle Hendailan Island to other other Middle Hendailan Island)
11894;11893;sea;11743;-1;-1;-1;-1;;Dream-island-bridge #:Pray: (Lowest Lower Hendailan Island to Middle Lower Hendailan Island)
11892;11888;sea;11743;-1;-1;-1;-1;;Dream-island-bridge #:Pray: (Middle Lower Hendailan Island to Isuk)
11886;11885;sea;11743;-1;-1;-1;-1;;Dream-island-bridge #:Pray: (Isuk to Highest Lower Hendailan Island)
3243;11176;impassable;-1;-1;-1;-1;-1;;Goiky-hills
1256;11136;impassable;-1;-1;-1;-1;-1;;Goiky-hills
1256;438;impassable;-1;-1;-1;-1;-1;;Goiky-hills
11116;438;impassable;-1;-1;-1;-1;-1;;Goiky-hills
44;3162;impassable;-1;-1;-1;-1;-1;;Goiky-hills
11259;913;impassable;-1;-1;-1;-1;-1;;Goiky-hills
6332;3162;impassable;-1;-1;-1;-1;-1;;Goiky-hills
11140;5766;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
503;5080;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1909;5080;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1909;2534;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11151;2534;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
250;11156;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11151;11156;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
503;5766;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1913;5859;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1913;2334;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2724;2334;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2724;2312;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2724;5109;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1938;5109;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11182;5109;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2724;11225;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11205;502;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2724;11225;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1938;502;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2811;502;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2726;502;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
3020;2653;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11247;5676;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2726;2653;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11165;4209;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
3020;629;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2838;629;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2838;3001;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2838;4550;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
6155;3001;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
6155;11271;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
450;11271;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11233;11271;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1621;11271;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1621;4364;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
11263;4364;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2639;11298;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2639;4364;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2639;812;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
1688;812;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2677;812;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2677;11322;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
3942;2035;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
4029;2035;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
3230;1007;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
2035;11360;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
4282;578;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
872;578;impassable;-1;-1;-1;-1;-1;;Snow-Plateau
-1;-1;-1;-1;-1;-1;-1;-1;-1